"taxonobservation_id","observation_type","scrubbed_family","scrubbed_species_binomial","latitude","longitude","elevation_m","country","state_province","county","locality_description","plot_name","is_new_world","is_geovalid","event_date","date_collected","plot_sampling_protocol","identified_by","datasource","datasource_id","dataset","dataowner","custodial_institution_codes","collection_code","collector","collection_number","is_cultivated","nsr_native_status","nsr_is_introduced",
"38833310","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Yavapai County","Cottonwood, AZ","","","","","","","","GBIF","397","ASU","ASU","ASU","ASUPlants","F. M. Svoboda","","","","",
"38866496","specimen","Bignoniaceae","Chilopsis linearis","34.7166890000000024","-106.804755999999998","","United States","New Mexico","Valencia","Valencia County, New Mexico","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38875118","specimen","Bignoniaceae","Chilopsis linearis","33.3612800000000007","-111.735079999999996","379","United States","Arizona","Maricopa","Gilbert, Riparian Preserve at Water Ranch, between Pond #7 & Pond #5 along Desert Willow Way. . With: Stephanandra, Lactuca, Salsola, Prosopis, Chilopsis","","1","1","","2008-05-01","","Raúl Gutiérrez","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","Raul Gutierrez","","","P","0",
"38972011","specimen","Bignoniaceae","Chilopsis linearis","32.3211999999999975","-113.014600000000002","399","United States","Arizona","Pima","Cabeza Prieta NWR, Daniels Arroyo, preferred camp 12S0306620 UTM 3586040. .","","1","1","","1992-09-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","A. Harlan","","","P","0",
"38980311","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","Arizona","Cochise County","Near ''live-in area'', SE corner of Coronado Nat Mon. Floodplain.","","1","","","1975-07-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","G. Nabhan","","","P","0",
"39022944","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Maricopa County","Queen Creek","","","","","","","","GBIF","397","ASU","ASU","ASU","ASUPlants","D. Berkenkamp","","","","",
"39042612","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","California","San Bernardino County","Big Bear Region","","1","","","1924-07-05","","","GBIF","1092","CAS","CAS","CAS","BOT","Cecil Hart","","","P","0",
"39083471","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","La Paz County","Apache Box,  Side of large sandy wash","","","","","2007-10-14","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Doug  Newton","","","","",
"39093767","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Maricopa County","Just off Beeline Highway on Sunflower, AZ turnoff","","","","","1967-05-06","","","GBIF","397","ASU","ASU","ASU","ASUPlants","David J. Keil","","","","",
"39099999","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Pinal County","Copper Butte; east of Walnut Canyon; north of Gila River; Teapot 7.5' Quad.","","","","","1982-06-29","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Marc Mittleman","","","","",
"39190949","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","California","San Diego County","San Felipe","","1","","","1882-06-01","","","GBIF","1092","CAS","CAS","CAS","DS","S. B. Parish; W. F. Parish","","","P","0",
"39293092","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Cochise County","Fort Huachuca; Maverick 11th Brigade Signal Corps site; 2km ENE of Kino Spring; 1.2km NNE of the mouth of Blacktail Canyon","","","","","1992-07-28","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Schulz","","","","",
"39329584","specimen","Bignoniaceae","Chilopsis linearis","","","243.840000000000003","United States","California","Riverside County","Colorado Desert. Box Canyon, east of Mecca","","1","","","1941-05-25","","","GBIF","1092","CAS","CAS","CAS","BOT","Annie M. Alexander; Louise Kellogg","","","P","0",
"39557346","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Grant","Silver City, WNMU cvampus behind greenhouse, along stairs","","","","","2006-10-02","","","GBIF","1382","SNM","SNM","SNM","Herb","K. Ward","","1","","",
